minute,closing_price,volume,vwap,short_ema,long_ema,macd,macd_signal,rsi
1,296.05,828124,296.07,293.3205,293.0385,0,0,0
2,296.0,446469,296.0566,293.4083,293.0837,0,0,0
3,295.94,297216,296.0415,293.4914,293.1273,0,0,0
4,295.85,406851,296.0076,293.5687,293.1689,0,0,0
5,295.77,440583,295.9746,293.6409,293.2086,0.4131,0.2648,82.797
6,295.69,378231,295.9416,293.708,293.2465,0.4131,0.2648,82.797
7,295.66,290647,295.9156,293.772,293.2833,0.4131,0.2648,82.797
8,295.68,178329,295.9037,293.8346,293.3199,0.4131,0.2648,82.797
9,295.76,203926,295.8938,293.8977,293.3572,0.4131,0.2648,82.797
10,295.86,286970,295.8887,293.9621,293.3954,0.5629,0.3244,83.2071
11,295.89,226629,295.8878,294.0253,293.4335,0.5629,0.3244,83.2071
12,295.9,208563,295.8877,294.0867,293.4711,0.5629,0.3244,83.2071
13,295.93,175970,295.8884,294.1472,293.5087,0.5629,0.3244,83.2071
14,295.84,187234,295.8875,294.2027,293.5442,0.5629,0.3244,83.2071
15,295.78,128198,295.8851,294.2544,293.5784,0.6676,0.393,81.2932
16,295.7,553488,295.8712,294.3018,293.6108,0.6676,0.393,81.2932
17,295.79,171132,295.8674,294.3506,293.644,0.6676,0.393,81.2932
18,295.83,235311,295.8643,294.3991,293.6774,0.6676,0.393,81.2932
19,295.89,154569,295.8648,294.448,293.7112,0.6676,0.393,81.2932
20,295.89,221160,295.8657,294.4953,293.7445,0.7507,0.4646,81.9285
21,295.94,1411548,295.8754,294.5426,293.778,0.7507,0.4646,81.9285
22,295.97,256220,295.8784,294.5894,293.8114,0.7507,0.4646,81.9285
23,295.96,127426,295.8801,294.6344,293.8442,0.7507,0.4646,81.9285
24,296.01,185972,295.8825,294.6795,293.8773,0.7507,0.4646,81.9285
25,296.09,1168188,295.9056,294.7257,293.9111,0.8232,0.5363,83.0884
26,296.08,183306,295.9093,294.7701,293.9442,0.8232,0.5363,83.0884
27,296.0,164717,295.9113,294.8104,293.9756,0.8232,0.5363,83.0884
28,296.03,132544,295.9128,294.8504,294.007,0.8232,0.5363,83.0884
29,296.01,119967,295.914,294.8884,294.0375,0.8232,0.5363,83.0884
30,295.84,187869,295.9134,294.9196,294.0651,0.8507,0.5992,76.2873
31,295.83,246858,295.9113,294.9495,294.092,0.8507,0.5992,76.2873
32,295.96,914461,295.9121,294.9826,294.1205,0.8507,0.5992,76.2873
33,296.03,122178,295.913,295.017,294.1497,0.8507,0.5992,76.2873
34,295.98,113172,295.9137,295.0485,294.1776,0.8507,0.5992,76.2873
35,296.01,1089312,295.9198,295.0801,294.2056,0.8761,0.6546,77.6685
36,295.96,103589,295.9201,295.1089,294.2324,0.8761,0.6546,77.6685
37,295.84,134113,295.9197,295.1329,294.2569,0.8761,0.6546,77.6685
38,295.82,505893,295.9163,295.1554,294.2808,0.8761,0.6546,77.6685
39,295.8301,112568,295.9155,295.1775,294.3044,0.8761,0.6546,77.6685
40,295.82,133540,295.9147,295.1986,294.3276,0.8709,0.6978,72.4297
41,295.8,216044,295.913,295.2183,294.3501,0.8709,0.6978,72.4297
42,295.99,371796,295.913,295.2436,294.3751,0.8709,0.6978,72.4297
43,296.06,324914,295.9162,295.2704,294.4008,0.8709,0.6978,72.4297
44,295.87,94466,295.9163,295.29,294.4232,0.8709,0.6978,72.4297
45,295.82,78228,295.9159,295.3074,294.4446,0.8569,0.7296,72.4297
46,295.8,182767,295.9148,295.3236,294.4653,0.8569,0.7296,72.4297
47,295.71,563614,295.8768,295.3362,294.4843,0.8569,0.7296,72.4297
48,295.665,310066,295.8727,295.347,294.5023,0.8569,0.7296,72.4297
49,295.65,278611,295.869,295.3569,294.5198,0.8569,0.7296,72.4297
50,295.51,367705,295.8621,295.362,294.5349,0.8114,0.746,63.7664
51,295.39,409064,295.8512,295.3629,294.548,0.8114,0.746,63.7664
52,295.2902,393652,295.8395,295.3605,294.5593,0.8114,0.746,63.7664
53,295.32,388732,295.8274,295.3592,294.5709,0.8114,0.746,63.7664
54,295.43,314415,295.82,295.3615,294.584,0.8114,0.746,63.7664
55,295.545,953896,295.8039,295.3675,294.5987,0.7693,0.7507,64.302099
56,295.63,201838,295.8019,295.3761,294.6145,0.7693,0.7507,64.302099
57,295.595,94048,295.801,295.3833,294.6294,0.7693,0.7507,64.302099
58,295.54,257073,295.7977,295.3884,294.6433,0.7693,0.7507,64.302099
59,295.54,740602,295.7867,295.3934,294.657,0.7693,0.7507,64.302099
60,295.37,153506,295.7839,295.3926,294.6679,0.7136,0.7433,59.4213
61,295.33,216326,295.7795,295.3906,294.678,0.7136,0.7433,59.4213
62,295.39,89231,295.7777,295.3906,294.6889,0.7136,0.7433,59.4213
63,295.33,293944,295.7716,295.3886,294.6987,0.7136,0.7433,59.4213
64,295.33,125649,295.7689,295.3867,294.7083,0.7136,0.7433,59.4213
65,295.28,64060,295.7675,295.3832,294.717,0.6547,0.7255,56.9515
66,295.33,67600,295.766,295.3814,294.7264,0.6547,0.7255,56.9515
67,295.23,127030,295.763,295.3765,294.7341,0.6547,0.7255,56.9515
68,295.105,167109,295.7581,295.3676,294.7398,0.6547,0.7255,56.9515
69,295.14,164031,295.7532,295.3601,294.7459,0.6547,0.7255,56.9515
70,295.165,253695,295.7463,295.3537,294.7523,0.5918,0.6988,53.7782
71,295.12,336706,295.737,295.346,294.7579,0.5918,0.6988,53.7782
72,295.21,97469,295.7346,295.3416,294.7648,0.5918,0.6988,53.7782
73,295.21,139089,295.7314,295.3373,294.7716,0.5918,0.6988,53.7782
74,295.27,109658,295.7291,295.3351,294.7792,0.5918,0.6988,53.7782
75,295.315,82604,295.7275,295.3344,294.7874,0.5478,0.6686,57.232
76,295.355,142020,295.725,295.3351,294.796,0.5478,0.6686,57.232
77,295.37,1386642,295.7053,295.3362,294.8048,0.5478,0.6686,57.232
78,295.29,695239,295.6937,295.3347,294.8122,0.5478,0.6686,57.232
79,295.36,1175328,295.6775,295.3355,294.8206,0.5478,0.6686,57.232
80,295.34,64159,295.6767,295.3357,294.8285,0.5091,0.6367,57.8156
81,295.44,302763,295.6736,295.3391,294.8378,0.5091,0.6367,57.8156
82,295.3453,100552,295.6725,295.3393,294.8456,0.5091,0.6367,57.8156
83,295.4,85160,295.6715,295.3413,294.854,0.5091,0.6367,57.8156
84,295.46,72520,295.6709,295.3452,294.8633,0.5091,0.6367,57.8156
85,295.34,88285,295.6699,295.345,294.8706,0.473,0.604,57.8156
86,295.275,75262,295.6689,295.3427,294.8767,0.473,0.604,57.8156
87,295.245,137707,295.6667,295.3395,294.8824,0.473,0.604,57.8156
88,295.11,149989,295.6639,295.332,294.8858,0.473,0.604,57.8156
89,295.11,109270,295.6617,295.3247,294.8893,0.473,0.604,57.8156
90,294.99,345267,295.6537,295.3137,294.8908,0.4114,0.5654,46.7794
91,295.2066,159522,295.6507,295.3102,294.8956,0.4114,0.5654,46.7794
92,295.18,195082,295.6473,295.306,294.9,0.4114,0.5654,46.7794
93,295.17,76185,295.646,295.3015,294.9041,0.4114,0.5654,46.7794
94,295.04,166379,295.6427,295.2929,294.9062,0.4114,0.5654,46.7794
95,295.01,5432,295.6426,295.2836,294.9078,0.36,0.5243,47.4173
96,295.02,181401,295.6387,295.275,294.9095,0.36,0.5243,47.4173
97,295.075,134079,295.636,295.2684,294.912,0.36,0.5243,47.4173
